Start_Lat,End_Lng,elapsed_time,day_of_week,hour_of_day,time_period,Temperature(C),Humidity(%),Pressure(atm),Visibility(km),Wind_Direction,Wind_Speed(kmph),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Severity
38.65844,-90.44824,360.0,2,17,afternoon,5.611111111111112,58.0,0.9969186,16.0934,W,22.208892,cloudy,1.0,0.0,0.0,0.0,3
38.57067,-90.44021,360.0,2,17,afternoon,5.611111111111112,58.0,0.9969186,16.0934,W,22.208892,cloudy,1.0,0.0,0.0,0.0,2
38.58496,-90.4474,360.0,3,1,night,2.7777777777777777,57.0,1.0005948,16.0934,WSW,13.035654,cloudy,1.0,1.0,1.0,1.0,3
38.58496,-90.4474,360.0,3,6,morning,0.6111111111111119,66.0,1.0026,16.0934,W,16.737136,clear,1.0,1.0,0.0,0.0,3
38.59802,-90.45076,360.0,0,6,morning,2.7777777777777777,82.0,1.0046052,12.87472,SSE,11.104446,cloudy,1.0,0.0,0.0,0.0,2
38.655627,-90.44824,360.0,0,17,afternoon,5.0,76.0,0.9985896,16.0934,E,13.035654,cloudy,1.0,1.0,0.0,0.0,2
38.65844,-90.44824,360.0,3,7,morning,-5.611111111111112,60.0,1.01931,16.0934,WNW,27.841582,cloudy,0.0,0.0,0.0,0.0,3
38.67705,-90.44912,360.0,3,16,afternoon,-2.7777777777777777,51.0,1.0219836,16.0934,WNW,16.737136,cloudy,1.0,0.0,0.0,0.0,2
38.6345,-90.44905,360.0,4,11,morning,-2.2222222222222223,51.0,1.0253256,16.0934,WNW,13.035654,cloudy,0.0,0.0,0.0,0.0,3
38.58496,-90.4474,360.0,4,16,afternoon,-3.277777777777777,55.0,1.0236546,16.0934,NW,9.334172,cloudy,0.0,0.0,0.0,0.0,3
38.6385,-90.44447,360.0,4,18,evening,-3.888888888888889,58.0,1.0236546,16.0934,N,5.63269,clear,1.0,1.0,1.0,1.0,3
38.66843,-90.44934,360.0,4,20,evening,-4.388888888888888,62.0,1.0236546,16.0934,W,5.63269,cloudy,1.0,1.0,1.0,1.0,2
38.635679,-90.420755,360.0,0,7,morning,0.0,69.0,1.0072788,16.0934,WNW,14.805927999999998,cloudy,0.0,0.0,0.0,0.0,2
38.54414000000001,-90.41806,360.0,0,7,morning,-0.6111111111111119,69.0,1.0079472,16.0934,NW,27.841582,cloudy,0.0,0.0,0.0,0.0,2
38.66843,-90.44934,360.0,0,8,morning,-1.722222222222223,67.0,1.0096182,16.0934,NW,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.6345,-90.44905,360.0,0,8,morning,-1.722222222222223,67.0,1.0096182,16.0934,NW,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.55195,-90.42371,360.0,2,7,morning,-8.277777777777779,68.0,1.0139628,16.0934,E,7.402963999999999,cloudy,1.0,0.0,0.0,0.0,2
38.57852000000001,-90.44839,360.0,3,6,morning,-9.38888888888889,49.0,1.0216494,16.0934,NW,14.805927999999998,cloudy,1.0,1.0,0.0,0.0,3
38.63809000000001,-90.43935,360.0,3,8,morning,-8.88888888888889,49.0,1.0219836,16.0934,NW,16.737136,cloudy,0.0,0.0,0.0,0.0,3
